entity_key,source_system,employee_count,region_code,compliance_flag,registration_number,updated_at
VEN1AQZI8,procurement_export,361,62067,clear,REG-272757,2026-01-15
VENDS7K6F,procurement_export,3,73958,clear,,2026-01-15
VENXX7OLL,procurement_export,1,63506,flagged,,2026-01-15
VEN688EHW,procurement_export,65,46395,,REG-360273,2026-01-15
VENE41JRQ,procurement_export,385,79253,,REG-560086,2026-01-15
VEN9TYXJT,procurement_export,139,41750,flagged,REG-975909,2026-01-15
VEN7QJ23A,procurement_export,161,29452,flagged,REG-668684,2026-01-15
VENSVBI2O,procurement_export,433,42883,flagged,REG-972787,2026-01-15
VENMK5V85,procurement_export,84,32017,,REG-671869,2026-01-15
VENIXOULW,procurement_export,350,,,REG-319094,2026-01-15
VEN6H1V4N,procurement_export,323,24174,,REG-946776,2026-01-15
VENHL92MH,procurement_export,201,,clear,REG-410811,2026-01-15
VENAAFZFZ,procurement_export,32,27903,,REG-178835,2026-01-15
VENFSGJZQ,procurement_export,107,75933,,REG-810161,2026-01-15
VENCK85L4,procurement_export,497,,clear,REG-563800,2026-01-15
VEN59ZSNM,procurement_export,29,54481,clear,REG-921126,2026-01-15
VEN5B38UG,procurement_export,312,,,REG-495898,2026-01-15
VEN3SUPC5,procurement_export,295,93300,clear,REG-727220,2026-01-15
VENJ4YCAA,procurement_export,448,36067,,REG-584002,2026-01-15
VENS2SORB,procurement_export,301,50021,,REG-837035,2026-01-15
VENBZ9VOG,procurement_export,148,57110,,REG-651750,2026-01-15
VEN8G193L,procurement_export,2,63117,,,2026-01-15
VEN8A2350,procurement_export,455,18879,clear,REG-616635,2026-01-15
VENX2DB4P,procurement_export,461,48127,flagged,REG-760262,2026-01-15
VENR9I0DG,procurement_export,90,30458,flagged,REG-764516,2026-01-15
VENTWWQBI,procurement_export,25,45423,,REG-987376,2026-01-15
VEN4UXG94,procurement_export,52,11327,flagged,REG-466424,2026-01-15
VEN6BL626,procurement_export,4,63888,clear,,2026-01-15
VEN3YKV54,procurement_export,248,43993,,REG-608080,2026-01-15
VEN9KVQLC,procurement_export,333,22927,,REG-880924,2026-01-15
VENKRL56A,procurement_export,374,,flagged,REG-563977,2026-01-15
VEND6SHV3,procurement_export,268,31184,flagged,REG-823986,2026-01-15
VENELZZ7P,procurement_export,369,46149,flagged,REG-734382,2026-01-15
VENIIHQKA,procurement_export,418,41094,,REG-450167,2026-01-15
VENL70OJA,procurement_export,233,78576,flagged,REG-790786,2026-01-15
VENYDE5BI,procurement_export,223,16519,,REG-276741,2026-01-15
VEN9PEGI0,procurement_export,308,82907,,REG-382864,2026-01-15
VENR5FS2C,procurement_export,2,62391,,,2026-01-15
VENTCCWK2,procurement_export,4,53207,clear,,2026-01-15
VEN23MW2N,procurement_export,152,42011,flagged,REG-984780,2026-01-15
VENGV4223,procurement_export,222,91586,,REG-522155,2026-01-15
VENS91T4I,procurement_export,297,45270,,REG-299125,2026-01-15
VENUVIAIC,procurement_export,3,85909,,,2026-01-15
VENGTZYNP,procurement_export,240,89463,,REG-374710,2026-01-15
VENLRANPG,procurement_export,152,67760,flagged,REG-478630,2026-01-15
VENLICK9Q,procurement_export,268,25182,,REG-853043,2026-01-15
VENHYPGDX,procurement_export,51,,,REG-338676,2026-01-15
VENHPBHPR,procurement_export,149,,,REG-295833,2026-01-15
VEN6BAT7N,procurement_export,146,,,REG-888976,2026-01-15
VEN40YGPF,procurement_export,4,90370,flagged,,2026-01-15
VENL46KMT,procurement_export,2,45989,,,2026-01-15
VENUHSRMM,procurement_export,252,,,REG-519121,2026-01-15
VENUICJ6U,procurement_export,444,40371,clear,REG-347187,2026-01-15
VENJRDXBA,procurement_export,108,37775,clear,REG-573638,2026-01-15
VENETDBC5,procurement_export,90,38029,,REG-182682,2026-01-15
VENY47M5Y,procurement_export,316,51887,clear,REG-501759,2026-01-15
VEN1IDWMC,procurement_export,193,30980,flagged,REG-964261,2026-01-15
VENYTH92S,procurement_export,426,13992,,REG-115918,2026-01-15
VEND6N86K,procurement_export,225,84022,,REG-497923,2026-01-15
VENS8UQJT,procurement_export,244,49767,flagged,REG-115143,2026-01-15
